CustomerID,Lookalike1,Lookalike2,Lookalike3
C0001,"('C0107', 0.9967813240517376)","('C0137', 0.9961327921239232)","('C0191', 0.9907521583597759)"
C0002,"('C0142', 0.9944944964344054)","('C0177', 0.986724906760291)","('C0088', 0.9799574760380741)"
C0003,"('C0190', 0.9695446495140948)","('C0133', 0.9672200000921352)","('C0174', 0.9564858124081292)"
C0004,"('C0113', 0.9951886109326523)","('C0102', 0.9843468520803613)","('C0012', 0.9765939893226478)"
C0005,"('C0186', 0.9985677494293833)","('C0159', 0.9982486619880006)","('C0007', 0.9923540270385061)"
C0006,"('C0168', 0.9773594182855333)","('C0048', 0.9663897386770384)","('C0187', 0.963541565151654)"
C0007,"('C0159', 0.9942979809317752)","('C0115', 0.9924945434027604)","('C0005', 0.9923540270385061)"
C0008,"('C0109', 0.9261444028553394)","('C0068', 0.9187547683928965)","('C0098', 0.9132038430840816)"
C0009,"('C0198', 0.9906954452460124)","('C0063', 0.9793570998498282)","('C0014', 0.9732600648430801)"
C0010,"('C0166', 0.9842451309398025)","('C0199', 0.9752780040778245)","('C0073', 0.9688610265635607)"
C0011,"('C0107', 0.995584707522279)","('C0048', 0.995474097376757)","('C0001', 0.9898313157557586)"
C0012,"('C0155', 0.9911714194934994)","('C0013', 0.9857869853556314)","('C0102', 0.9829064876202874)"
C0013,"('C0155', 0.9924243719198502)","('C0012', 0.9857869853556314)","('C0104', 0.9844472207179353)"
C0014,"('C0060', 0.999527053129305)","('C0198', 0.9935364176202525)","('C0063', 0.9858357997721002)"
C0015,"('C0020', 0.9939710153995093)","('C0058', 0.990114675037139)","('C0033', 0.9890991093114002)"
C0016,"('C0183', 0.9886685908340697)","('C0154', 0.9744311746709989)","('C0117', 0.9662695165417681)"
C0017,"('C0124', 0.9840240556089958)","('C0075', 0.965002113438056)","('C0041', 0.9544849513833001)"
C0018,"('C0046', 0.9314321569470768)","('C0122', 0.9306894144132226)","('C0067', 0.9301552312229974)"
C0019,"('C0172', 0.997331514763894)","('C0127', 0.9654742602938435)","('C0069', 0.960204621046272)"
C0020,"('C0058', 0.9957370306632991)","('C0033', 0.9945417951893055)","('C0015', 0.9939710153995093)"
